"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","110109","Clive D. Wrigley and Albert S. Dexter","","","","A Model for Measuring Information System Size","245--257","","13","","10.2307/249386","MIS Q.","June 1991","15","2","","June","1991","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025410","Malcolm C. Munro and Gordon B. Davis","","","","Determining Management Information Needs: A Comparison of Methods","55--67","","13","Management information needs, information analysis techniques","10.2307/249168","MIS Q.","June 1977","1","2","","June","1977","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017079","Barbara  Braden and Jerome  Kanter and David  Kopsco","","","","Developing an Expert Systems Strategy","459--467","","9","case study, expert systems, knowledge engineering, rule-based systems, systems implementation","10.2307/248733","MIS Q.","Decenber 1989","13","4","","December","1989","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025466","William R. King and Jaime I. Rodriguez","","","","Evaluating Management Informatoin Systems","43--51","","9","system evaluation","10.2307/249177","MIS Q.","September 1978","2","3","","September","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2208953","Gerald C. Kane and Stephen P. Borgatti","","","","Centrality-is Proficiency Alignment and Workgroup Performance","1063--1078","","16","IS proficiency, centrality, collective use, healthcare delivery, multilevel analysis, multimodal networks, performance, social network analysis","","MIS Q.","December 2011","35","4","","December","2011","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177666","Byungwan  Koh and Srinivasan  Raghunathan and Barrie R. Nault","","","","Is Voluntary Profiling Welfare Enhancing?","23--41","","19","price discrimination, privacy, social welfare, voluntary profiling","10.25300/MISQ/2017/41.1.02","MIS Q.","March 2017","41","1","","March","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017436","Richard L. Baskerville and Michael D. Myers","","","","Fashion Waves in Information Systems Research and Practice","647--662","","16","adoption, diffusion, fashion setting, information systems fashion, information systems practice, innovation, management fashion, research agenda","","MIS Q.","December 2009","33","4","","December","2009","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017323","Sandra A. Slaughter and Linda  Levine and Balasubramaniam  Ramesh and Jan  Pries-Heje and Richard  Baskerville","","","","Aligning Software Processes with Strategy","891--918","","28","competitive strategy, contingency theory, internet application development, product-process matrix, software development strategy, software process","","MIS Q.","December 2006","30","4","","December","2006","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017540","Ronald  Schwartz and Joan  Fortune and Julian  Horwich","","","","AMANDA: A Computerized Document Management System","41--49","","9","applications development, database systems, decision support system, document management, filing, information systems, information systems design, interactive software, management information system, online system, records management, user orientation","10.2307/249319","MIS Q.","September 1980","4","3","","September","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017566","Jim  Highsmith","","","","Structured Systems Planning","35--54","","20","operational planning, strategic planning, structured techniques, systems planning","10.2307/249290","MIS Q.","September 1981","5","3","","September","1981","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025406","Gary W. Dickson","","","","I Nterview with: William G. Phillips, Richard King","13--19","","7","","10.2307/249164","MIS Q.","June 1977","1","2","","June","1977","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017553","Harvey S. Koch","","","","Online Computer Auditing Through Continuous and Intermittent Simulation","29--41","","13","computer auditing, internal auditing, internal controls, online auditing, parallel simulation","10.2307/249156","MIS Q.","March 1981","5","1","","March","1981","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017679","Donald P. Ballou and Giri Kumar Tayi","","","","Reconciliation Process for Data Management in Distributed Environments","97--108","","12","centralization/decentralization, data management, distributed information systems, management of information resources","10.2307/249111","MIS Q.","June 1985","9","2","","June","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017479","Lawrence A. Gordon and Martin P. Loeb and Tashfeen  Sohail","","","","Market Value of Voluntary Disclosures Concerning Information Security","567--594","","28","bid-ask spread, information security, market value, selection-bias, voluntary disclosures","","MIS Q.","September 2010","34","3","","September","2010","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017666","D. H. Drury","","","","An Evaluation of Data Processing Steering Committees","257--265","","9","centralization/decentralization, management techniques","10.2307/249095","MIS Q.","December 1984","8","4","","December","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017440","Ronald T. Cenfetelli and Genevi&#232;ve  Bassellier","","","","Interpretation of Formative Measurement in Information Systems Research","689--707","","19","formative indicators, formative measurement, measurement theory, structural equation modeling","","MIS Q.","December 2009","33","4","","December","2009","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025523","John F. Rockart and Leslie  Ball and Christine V. Bullen","","","","Future Role of the Information Systems Executive","1--14","","14","informatoin systems executive model","10.2307/249063","MIS Q.","Special Issue/December 1982","6","4","","December","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017319","Elena  Karahanna and Ritu  Agarwal and Corey M. Angst","","","","Reconceptualizing Compatability Beliefs in Technology Acceptance Research","781--804","","24","TAM, compatibility, innovation characteristics, innovation diffusion, technology acceptance model","","MIS Q.","December 2006","30","4","","December","2006","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025470","Barry L. Bateman and James C. Wetherbe","","","","Cost Analysis of Computer Maintenance Contracts","15--22","","8","cost modeling, maintenance contracts, reliability and maintenance","10.2307/248901","MIS Q.","December 1978","2","4","","December","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017096","Paul B. Cragg and Malcolm  King","","","","Small-firm Computing: Motivators and Inhibitors","47--60","","14","growth inhibitors, growth motivators, growth process, small-firm computing","10.2307/249509","MIS Q.","March 1993","17","1","","March","1993","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017240","Anitesh  Barua and Prabhudev  Konana and Andrew B. Whinston and Fang  Yin","","","","An Empirical Investigation of Net-enabled Business Value","585--620","","36","business process alignment, business value of IT, digitization, net-enabled business transformation, online informational capability, resource-based view","","MIS Q.","December 2004","28","4","","December","2004","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017449","Nigel P. Melville","","","","Information Systems Innovation for Environmental Sustainability","1--21","","21","belief-action-outcome (bao) framework, environment, environmental management system, green, information system, innovation, organization, sustainability","","MIS Q.","March 2010","34","1","","March","2010","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177719","Kai  Riemer and Robert B. Johnston","","","","Clarifying Ontological Inseparability with Heidegger's Analysis of Equipment","1059--1081","","23","Heidegger, IT use, holism, ontological inseparability, sociomateriality, ubiquitous IT","10.25300/MISQ/2017/41.4.03","MIS Q.","December 2017","41","4","","December","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2600523","David  Martens and Foster  Provost","","","","Explaining Data-driven Document Classifications","73--100","","28","comprehensibility, document classification, instance level explanation, text mining","10.25300/MISQ/2014/38.1.04","MIS Q.","March 2014","38","1","","March","2014","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177716","Arun  Rai","","","","Editor's Comments: Seeing the Forest for the Trees","iii--vii","","","","","MIS Q.","December 2017","41","4","","December","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2638646","Suzanne  Rivard","","","","Editor's Comments: The Ions of Theory Construction","iii--xiv","","","","","MIS Q.","June 2014","38","2","","June","2014","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2208933","Alok R. Chaturvedi and Daniel R. Dolk and Paul L. Drnevich","","","","Design Principles for Virtual Worlds","673--684","","12","IS design theory, agent-based simulation, deep structure, emergent knowledge processes, platform as a methodology (PaaM), user-developed content (UDC), virtual world systems","","MIS Q.","September 2011","35","3","","September","2011","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","161029","Blake  Ives","","","","Education: A Sustainable National Competitive Advantage","43--54","","12","","","MIS Q.","Sept. 1992","16","3","","September","1992","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","12890","Wilpen  Gorr","","","","Special Event Data in Shared Databases","239--255","","17","","10.2307/249257","MIS Q.","Sept. 1986","10","3","","September","1986","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","51769","Blake  Ives and Michael R. Vitale","","","","After the Sale: Leveraging Maintenance with Information Technology.","7--21","","15","","10.2307/248797","MIS Q.","March 1988","12","1","","March","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","333740","Carol V. Brown","","","","Horizontal Mechanisms Under Differing IS Organization Contexts","421--454","","34","IS management, IS staffing, issues in organizing IS, organization design, steering committees","10.2307/249470","MIS Q.","Sept. 1999","23","3","","September","1999","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2871320","Samer  Faraj and Srinivas  Kudaravalli and Molly  Wasko","","","","Leading Collaboration in Online Communities","393--411","","19","knowledge collaboration, leader behaviors, network analysis, online communities, online leadership, structural social capital","10.25300/MISQ/2015/39.2.06","MIS Q.","June 2015","39","2","","June","2015","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","198646","Henri  Barki and Jon  Hartwick","","","","Measuring User Participation, User Involvement, and User Attitude","59--82","","24","IS implementation, user involvement, user participation","10.2307/249610","MIS Q.","March 1994","18","1","","March","1994","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","58313","Richard D. Hackathorn and Jahangir  Karimi","","","","A Framework for Comparing Information Engineering Methods","203--220","","18","","10.2307/248845","MIS Q.","June 1988","12","2","","June","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","119629","Michael  Newman and Daniel  Robey","","","","A Social Process Model of User-analyst Relationships","249--266","","18","","10.2307/249578","MIS Q.","June 1992","16","2","","June","1992","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017546","Lee L. Gremillion","","","","Managing the Implementation of Standardized Computer Based Systems","51--59","","9","governmental systems, implementation management, organizational change, systems implementation, user behavior","10.2307/248960","MIS Q.","December 1980","4","4","","December","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017563","Franz  Edelman","","","","Managers, Computer Systems, and Productivity","1--19","","19","cost/benefit analysis, decision support systems, productivity","10.2307/249287","MIS Q.","September 1981","5","3","","September","1981","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025463","W. R. Synnott","","","","Total Customer Relationship","15--24","","10","consolidated management reporting, corporate MIS, international banking, total customer relationships, worldwide CIF","10.2307/249174","MIS Q.","September 1978","2","3","","September","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2208959","Sam  Ransbotham and Sabyaschi  Mitra and Jon  Ramsey","","","","Are Markets for Vulnerabilities Effective?","43--64","","22","information security, information technology policy, vulnerability disclosure","","MIS Q.","March 2012","36","1","","March","2012","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","280240","John  Cross and Michael J. Earl and Jeffrey L. Sampler","","","","Transformation of the IT Function at British Petroleum","401--423","","23","IS management, information technology, transformation","10.2307/249721","MIS Q.","Dec. 1997","21","4","","December","1997","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017646","Julian  Senter","","","","Issues &#38; Opinions","67--68","","2","","10.2307/249343","MIS Q.","June 1984","8","2","","June","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","51773","Richard  Leifer","","","","Matching Computer-based Information Systems with Organizational Structures","63--73","","11","","10.2307/248805","MIS Q.","March 1988","12","1","","March","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017580","Leslie  Ball and Richard  Harris","","","","SMIS Members: A Membership Analysis","19--38","","20","SMIS, SMIS services, issues, needs","10.2307/248752","MIS Q.","March 1982","6","1","","March","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2871316","Theo K. Dijkstra and J&#246;rg  Henseler","","","","Consistent Partial Least Squares Path Modeling","297--316","","20","Monte Carlo simulation, PLS, SEM, consistent partial least squares, variance-based structural equation modeling","10.25300/MISQ/2015/39.2.02","MIS Q.","June 2015","39","2","","June","2015","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","40626","R. Ryan Nelson and Paul H. Cheney","","","","Training End Users: An Exploratory Study","547--559","","13","","10.2307/248985","MIS Q.","Dec. 1987","11","4","","December","1987","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177689","Nan  Hu and Paul A. Pavlou and Jie  Zhang","","","","On Self-selection Biases in Online Product Reviews","449--471","","23","analytical modeling, consumer behavior, econometric models, electronic commerce, online product reviews, product quality, product uncertainty, product value, sales forecasting, self-selection biases","10.25300/MISQ/2017/41.2.06","MIS Q.","June 2017","41","2","","June","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2481689","Nachiketa  Sahoo and Param Vir Singh and Tridas  Mukhopadhyay","","","","A Hidden Markov Model for Collaborative Filtering","1329--1356","","28","changing preference, collaborative filtering, dynamic models, latent class model, recommender systems","","MIS Q.","December 2012","36","4","","December","2012","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","59190","Duncan G. Copeland and James L. McKenney","","","","Airline Reservations Systems: Lessons from History","353--370","","18","","10.2307/249202","MIS Q.","Sept. 1988","12","3","","September","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2685150","Melissa  Mazmanian and Marisa  Cohn and Paul  Dourish","","","","Dynamic Reconfiguration in Planetary Exploration: A Sociomaterial Ethnography","831--848","","18","dynamic reconfiguration, organizational processes, outer planetary exploration, qualitative empirical analysis, representational practices, sociomateriality, software studies","10.25300/MISQ/2014/38.3.09","MIS Q.","September 2014","38","3","","September","2014","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017676","Kalle J. Lyytinen","","","","Implications of Theories of Language for Information Systems","61--74","","14","computer applications, information system design, information system models, language theory, theory of information systems","10.2307/249274","MIS Q.","March 1985","9","1","","March","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025429","James C. Brancheau and James C. Wetherbe","","","","Key Issues in Information Systems Management","23--45","","23","IS management, delphi technique, key issues, management priorities","10.2307/248822","MIS Q.","March 1987","11","1","","March","1987","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017116","J. Daniel Couger and Lexis F. Higgins and Scott C. McIntyre","","","","(Un)Structured Creativity in Information Systems Organizations","375--397","","23","creative climate, creativity, creativity in information systems, creativity techniques","10.2307/249584","MIS Q.","Decenber 1993","17","4","","December","1993","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017346","Carol  Saunders","","","","Editor's Comments: Information Systems in Developing Countries","iii--vi","","","","","MIS Q.","June 2007","31","2","","June","2007","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017633","Herbert N. McCauley","","","","Developing a Corporate Private Network","19--33","","15","telecommunications","10.2307/248744","MIS Q.","December 1983","7","4","","December","1983","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017089","James H. Gerlach and Feng-Yang  Kuo","","","","Understanding Human-computer Interaction for Information Systems Design","527--549","","23","action language, human factors, presentation language, system model, user mental model, user-computer interface","10.2307/249456","MIS Q.","Decenber 1991","15","4","","December","1991","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017529","L. C. Barbosa and R. G. Hirko","","","","Integration of Algorithmic Aids into Decision Support Systems","1--12","","12","aids for decision making, algorithmic aids, decision support systems","10.2307/248863","MIS Q.","March 1980","4","1","","March","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017263","Andrew H. Van de Ven","","","","Running in Packs to Develop Knowledge-intensive Technologies","365--378","","14","competence, infrastructure, knowledge management","","MIS Q.","June 2005","29","2","","June","2005","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017276","Mike W. Chiasson and Elizabeth  Davidson","","","","Taking Industry Seriously in Information Systems Research","591--605","","15","industry context, information systems theory, institutional theory","","MIS Q.","December 2005","29","4","","December","2005","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017476","Janine L. Spears and Henri  Barki","","","","User Participation in Information Systems Security Risk Management","503--522","","20","information security, sarbanes-oxley act, security risk management, user participation","","MIS Q.","September 2010","34","3","","September","2010","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017103","Lloyd W. Belcher and Hugh J. Watson","","","","Assessing the Value of Conoco's EIS","239--253","","15","cost benefit analysis, executive information systems, executive support systems, system evaluation","10.2307/249770","MIS Q.","September 1993","17","3","","September","1993","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017246","Carol  Saunders","","","","Editor's Comments: Looking for Diamond Cutters","iii--viii","","","","","MIS Q.","March 2005","29","1","","March","2005","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025433","Raymond  McLeod and Jack William Jones","","","","A Framework for Office Automation","87--104","","18","decision support, framework, office automation, theory","10.2307/248830","MIS Q.","March 1987","11","1","","March","1987","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2208950","H. Jeff Smith and Tamara  Dinev and Heng  Xu","","","","Information Privacy Research: An Interdisciplinary Review","989--1016","","28","information privacy, interdisciplinary, multi-theory, regulation, society","","MIS Q.","December 2011","35","4","","December","2011","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2600493","Rajiv  Garg and Rahul  Telang","","","","Inferring App Demand from Publicly Available Data","1253--1264","","12","Android, Apple iTunes, app downloads, app store, in-app purchase, mobile apps, pareto distribution, sales-rank calibration","10.25300/MISQ/2013/37.4.12","MIS Q.","December 2013","37","4","","December","2013","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017683","Sirkka L. Jarvenpaa and Gary W. Dickson and Gerardine  DeSanctis","","","","Methodological Issues in Experimental IS Research: Experiences and Recommendations","141--156","","16","MIS research, computer graphics, research methodology","10.2307/249115","MIS Q.","June 1985","9","2","","June","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017161","Ron  Weber","","","","Editor's Comments: Retrospection: The MIS Quarterly's Review Processes: 1995-2001","v--xi","","","","","MIS Q.","June 2002","26","2","","June","2002","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017674","Louis  Raymond","","","","Organizational Characteristics and MIS Success in the Context of Small Business","37--52","","16","MSI success, computer usage, organizational context, small business","10.2307/249272","MIS Q.","March 1985","9","1","","March","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017649","Kathy Brittain White","","","","MIS Project Teams: An Investigation of Cognitive Style Implications","95--101","","7","MIS systems design, MIS systems development, human resource management, project teams","10.2307/249346","MIS Q.","June 1984","8","2","","June","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","161031","Prashant C. Palvia and James A. Perkins and Steven M. Zeltmann","","","","The PRISM System: A Key to Organizational Effectiveness at Federal Express Corporation","277--292","","16","information system, management of information systems, organizational effectiveness, organizational flexibility","10.2307/249529","MIS Q.","Sept. 1992","16","3","","September","1992","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","120901","","James C. Emery","","","","","","","","","MIS Q.","Sept. 1991","15","3","Special issue on the strategic use of information systems","October","1991","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2481635","Marshall Scott Poole","","","","Response to Jones and Karsten, Giddens's Structuration Theory and Information Systems Research","583--588","","6","","","MIS Q.","September 2009","33","3","","September","2009","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017552","Franz  Edelman","","","","The Management of Information Resources: A Challenge for American Business","17--27","","11","data orientation, future framework, future information professional, information resource management","10.2307/249155","MIS Q.","March 1981","5","1","","March","1981","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025435","George  Houdeshel and Hugh J. Watson","","","","The Management Information and Decisin Support (MIDS) System at Lockheed-Georgia","127--140","","14","decision support, executive information systems, systems development","10.2307/248834","MIS Q.","March 1987","11","1","","March","1987","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177648","Peng  Huang and Zhongju  Zhang","","","","Participation in Open Knowledge Communities and Job-hopping: Evidence from Enterprise Software","785--806","","22","career development, enterprise software, job-hopping, knowledge community, knowledge management, network of practice, online forums","10.25300/MISQ/2016/40.3.13","MIS Q.","September 2016","40","3","","September","2016","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","292708","Maha  El-Shinnawy and Ajay S. Vinze","","","","Polarization and Persuasive Argumentation: A Study of Decision Making in Group Settings","165--198","","34","choice shifts, group polarization, group support systems","10.2307/249394","MIS Q.","June 1998","22","2","","June","1998","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177622","Lisen  Selander and Sirkka L. Jarvenpaa","","","","Digital Action Repertoires and Transforming a Social Movement Organization","331--352","","22","case study, collaboration, digital activism, networks and communities, organization, societal change","10.25300/MISQ/2016/40.2.03","MIS Q.","June 2016","40","2","","June","2016","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","110114","William J. Doll and Gholamreza  Torkzadeh","","","","The Measurement of End-user Computing Satisfaction: Theoretical and Methodological Issues","5--10","","6","","10.2307/249429","MIS Q.","March 1991","15","1","","March","1991","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","227625","Noam  Tractinsky and Sirkka L. Jarvenpaa","","","","Information Systems Design Decisions in a Global Versus Domestic Context","507--534","","28","IS management, IS planning, IS project managers, Q-methodology, distribution policy, global IS, international business","10.2307/249631","MIS Q.","Dec. 1995","19","4","","December","1995","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","197857","Ilze  Zigurs and Kenneth A. Kozar","","","","An Exploratory Study of Roles in Computer-supported Groups","277--297","","21","electronic meeting systems, group interaction process, group support systems, roles","10.2307/249619","MIS Q.","Sept. 1994","18","3","","September","1994","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025452","Michael J. Ginzberg","","","","Redesign of Managerial Tasks: A Requisite for Successful Decision Support Systems","39--52","","14","decision support systems, level-of-adoptions, managerial task change, system design, system evaluation, user training","10.2307/249105","MIS Q.","March 1978","2","1","","March","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","58997","Albert L. Lederer and Aubrey L. Mendelow","","","","&Ldquo;Convincing Top Management of the Strategic Potential of Information Systems","525--534","","10","","10.2307/249127","MIS Q.","December 1988","12","4","","December","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2481652","Janet K. Ply and Jo Ellen Moore and Clay K. Williams and Jason Bennett Thatcher","","","","Is Employee Attitudes and Perceptions at Varying Levels of Software Process Maturity","601--624","","24","CMM, IS professionals, control theory, cynicism, job satisfaction, professional efficacy, role ambiguity, role conflict, software process improvement, work overload","","MIS Q.","June 2012","36","2","","June","2012","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177665","Martin  Hibbeln and Jeffrey L. Jenkins and Christoph  Schneider and Joseph S. Valacich and Markus  Weinmann","","","","How is Your User Feeling? Inferring Emotion Through Human-computer Interaction Devices","1--21","","21","attentional control theory (ACT), human-computer interaction, mouse cursor distance, mouse cursor speed, mouse tracking, negative emotion","10.25300/MISQ/2017/41.1.01","MIS Q.","March 2017","41","1","","March","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","348942","Alfred  Taudes and Markus  Feurstein and Andreas  Mild","","","","Options Analysis of Software Platform Decisions: A Case Study","227--243","","17","IS investment, SAP R/3, cost-benefit analysis, real options, software platform, strategic IS management","10.2307/3250937","MIS Q.","June 2000","24","2","","June","2000","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177722","Corey M. Angst and Kaitlin D. Wowak and Sean M. Handley and Ken  Kelley","","","","Antecedents of Information Systems Sourcing Strategies in U.S. Hospitals: A Longitudinal Study","1129--1152","","24","IS sourcing strategy, electronic medical record systems, firm characteristics, health IT, institutional theory, longitudinal, mixed effects model, panel data","10.25300/MISQ/2017/41.4.06","MIS Q.","December 2017","41","4","","December","2017","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2481678","J. J. Po-An Hsieh and Arun  Rai and Stacie  Petter and Ting  Zhang","","","","Impact of User Satisfaction with Mandated CRM Use on Employee Service Quality","1065--1080","","16","customer relationship management systems, embodied service knowledge, employee service quality, job dedication, mandatory use, task performance, user satisfaction","","MIS Q.","December 2012","36","4","","December","2012","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","119644","Terry Anthony Byrd and Kathy L. Cossick and Robert W. Zmud","","","","A Synthesis of Research on Requirements Analysis and Knowledge Acquisition Techniques","117--138","","22","","10.2307/249704","MIS Q.","March 1992","16","1","","March","1992","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
